DATE,DDDI06USA156NWDB_20180730,DDDI06USA156NWDB_20191018
1996-01-01,4.77177,4.78777
1997-01-01,4.78755,4.80484
1998-01-01,4.86833,4.88247
1999-01-01,4.82673,4.84175
2000-01-01,4.83941,4.85473
2001-01-01,5.05348,5.07257
2002-01-01,5.40846,5.428780000000001
2003-01-01,5.67071,5.69667
2004-01-01,5.6852599999999995,5.71373
2005-01-01,5.63309,5.65774
2006-01-01,5.55881,5.575419999999999
2007-01-01,5.288930000000001,5.29835
2008-01-01,5.3890199999999995,5.39113
2009-01-01,8.72904,8.71078
2010-01-01,12.4424,12.4195
2011-01-01,14.7339,14.7105
2012-01-01,15.9294,15.8884
2013-01-01,18.9798,18.8743
2014-01-01,23.0044,22.8807
2015-01-01,23.3892,23.2626
2016-01-01,22.7163,22.6159
2017-01-01,.,21.7465
